カテゴリ,施設名,郵便番号,所在地,住所,番地,電話番号,営業者氏名,確認・許可年月日,種別,旧種別,登録期限,保健所,出典ファイル
理容所,デラックス ヨシダ,529-0414,長浜市木之本町川合,長浜市木之本町川合３９０,３９０,82-3196,吉田 貴代江,S60/04/03,,,,長浜,5627913.pdf
理容所,ノセ理髪店,521-0202,米原市柏原,米原市柏原８５３,８５３,57-0749,能政 信雄,S43/08/12,,,,長浜,5627913.pdf
理容所,バーバー かつら,521-0016,米原市下多良,米原市下多良一丁目１５４－２,一丁目１５４－２,52-0085,桂 真一,S56/08/07,,,,長浜,5627913.pdf
理容所,バーバー タニグチ,526-0841,長浜市新栄町,長浜市新栄町６０２－２,６０２－２,62-6511,谷口 清紀,S48/08/03,,,,長浜,5627913.pdf
理容所,はさみ小僧,529-0241,長浜市高月町高月,長浜市高月町高月９５７－１,９５７－１,85-5852,川上 尚昭,H13/04/24,,,,長浜,5627913.pdf
理容所,ひとつや理容,529-0141,長浜市五村,長浜市五村３０８－４,３０８－４,73-3178,一ツ矢 清,S44/07/05,,,,長浜,5627913.pdf
理容所,ビューティ・ソシアル たちばな,526-0053,長浜市宮前町,長浜市宮前町１５－１,１５－１,0749-62-8798,石井 良江,H19/12/12,,,,長浜,5627913.pdf
理容所,ファンシーヘア ハンズ,526-0843,長浜市南小足町,長浜市南小足町１０－２,１０－２,63-2832,松居 正,H01/06/12,,,,長浜,5627913.pdf
理容所,理容サミット長浜駅前店,526-0057,長浜市北船町,長浜市北船町３－２,３－２,64-2189,渡部 敦史,H07/11/17,,,,長浜,5627913.pdf
理容所,プライム ザ たちばな,526-0031,長浜市八幡東町,長浜市八幡東町９－１ 長浜楽市生活サービ ス館１Ｆ,９－１ 長浜楽市生活サービ ス館１Ｆ,63-7525,石井 良和,H13/03/09,,,,長浜,5627913.pdf
理容所,ヘアーカット尾羽梨,529-0241,長浜市高月町高月,長浜市高月町高月５５９,５５９,85-3231,久保 旬子,H03/11/22,,,,長浜,5627913.pdf
理容所,ヘアークラブ ブーム,529-0212,長浜市高月町井口,長浜市高月町井口１３１４－３９,１３１４－３９,85-6126,大谷 加寿人,H06/12/01,,,,長浜,5627913.pdf
理容所,ヘアーサロン かわさき,526-0841,長浜市新栄町,長浜市新栄町５０－５,５０－５,64-1214,河崎 伊兵衛,S57/04/08,,,,長浜,5627913.pdf
理容所,ヘアーサロン しばた,526-0015,長浜市神照町,長浜市神照町７４５－３,７４５－３,63-8368,柴田 孝夫,H02/11/07,,,,長浜,5627913.pdf
理容所,ヘアーサロン ミノウラ,526-0828,長浜市加田町,長浜市加田町２５０７－１,２５０７－１,62-5812,箕浦 廣信,S62/10/27,,,,長浜,5627913.pdf
理容所,ヘアーサロン ヨコタ,526-0843,長浜市南小足町,長浜市南小足町３７５－６,３７５－６,64-1780,横田 伸作,S55/07/29,,,,長浜,5627913.pdf
理容所,ヘアーサロン ヨシダ,521-0035,米原市醒井,米原市醒井６０４,６０４,54-0416,吉田 冨雄,S53/12/08,,,,長浜,5627913.pdf
理容所,ヘアーサロン イトー,526-0033,長浜市平方町,長浜市平方町１１８８－６,１１８８－６,63-1602,伊藤 敏夫,S53/11/14,,,,長浜,5627913.pdf
理容所,ヘアーサロン イブキ,526-0052,長浜市神前町,長浜市神前町７－１２,７－１２,63-2457,伊吹 研一,S53/07/29,,,,長浜,5627913.pdf
理容所,ヘアーサロン きたがわ,521-0022,米原市樋口,米原市樋口４４６,４４６,54-0544,北川 泰彦,S45/05/21,,,,長浜,5627913.pdf
理容所,ヘアーサロン しみず,526-0831,長浜市宮司町,長浜市宮司町４４３,４４３,63-3135,清水 栄治,S48/06/01,,,,長浜,5627913.pdf
理容所,ヘアーサロン タカノ,529-0133,長浜市新旭町,長浜市新旭町７６,７６,73-4040,野瀬 邦夫,S54/08/03,,,,長浜,5627913.pdf
理容所,ヘアーサロン つだ,529-0205,長浜市高月町唐川,長浜市高月町唐川５２７－４,５２７－４,85-4970,津田 士郎,S59/03/30,,,,長浜,5627913.pdf
理容所,ｈａｉｒ ｓａｌｏｎ ｎａｋａｈａｓ ｈｉ × ｆｒｏｍ ａｒｔｓ,526-0024,長浜市三ツ矢元町,長浜市三ツ矢元町５－８,５－８,0749-62-3828,中橋 勇喜,S56/10/19,,,,長浜,5627913.pdf
理容所,ヘアーサロン ヒサダ,521-0242,米原市長岡,米原市長岡１２１２－３,１２１２－３,0749-55-0578,久田 佳代,H10/08/06,,,,長浜,5627913.pdf
理容所,ヘアーサロン ベスト,529-0721,長浜市西浅井町大浦,長浜市西浅井町大浦６９－１,６９－１,89-0813,島内 覚,H03/12/12,,,,長浜,5627913.pdf
理容所,ヘアーサロン ホソカワ,526-0847,長浜市山階町,長浜市山階町６４７－１,６４７－１,63-6643,細川 民明,S54/06/01,,,,長浜,5627913.pdf
理容所,ヘアーサロン ミヤタ,526-0062,長浜市列見町,長浜市列見町１７５－２,１７５－２,62-4816,宮田 重成,S55/01/08,,,,長浜,5627913.pdf
理容所,ヘアーサロン ムラタ,521-0314,米原市春照,米原市春照４４６,４４６,0749-58-0182,村田 美奈子,H03/09/11,,,,長浜,5627913.pdf
理容所,ヘアーサロン ムラヤマ,521-0083,米原市新庄,米原市新庄１１３,１１３,0749-52-1382,村山 玲子,H16/12/02,,,,長浜,5627913.pdf
理容所,ヘヤー オーシャン,521-0001,米原市朝妻筑摩,米原市朝妻筑摩１７７１,１７７１,52-2220,田邉 繁信,H04/11/27,,,,長浜,5627913.pdf
理容所,ヘアーサロンなかがわ,526-0021,長浜市八幡中山町,長浜市八幡中山町１５６－１５,１５６－１５,62-1154,中川 秀明,H12/02/07,,,,長浜,5627913.pdf
理容所,ヘアーサロンまえだ＆ＳＨＥＲＰＡ,526-0023,長浜市三ツ矢町,長浜市三ツ矢町４－１６,４－１６,62-2818,前田 忠雄,H14/04/24,,,,長浜,5627913.pdf
理容所,ヘアーサロン小川,529-0354,長浜市湖北町山本,長浜市湖北町山本４５５２－２,４５５２－２,79-0251,小川 信一,H01/11/21,,,,長浜,5627913.pdf
理容所,ヘアーサロン北川,526-0059,長浜市元浜町,長浜市元浜町８－２７,８－２７,0749-62-6631,北川 邦裕,H10/06/08,,,,長浜,5627913.pdf
理容所,ヘアースタジオ ふくなが,521-0243,米原市万願寺,米原市万願寺１０８－１,１０８－１,0749-55-0087,福永 文吾,S33/10/09,,,,長浜,5627913.pdf
理容所,ヘアースタジオ オガワ,529-0425,長浜市木之本町木之本,長浜市木之本町木之本１２９３,１２９３,82-2771,小川 悟,H06/09/20,,,,長浜,5627913.pdf
理容所,へあーず倶楽部 髪工房,526-0067,長浜市港町,長浜市港町４－９,４－９,0749-62-0864,浅田 光男,H17/03/15,,,,長浜,5627913.pdf
理容所,ヘアーブランド ニューヨーク,529-0331,長浜市湖北町八日市,長浜市湖北町八日市７５３－２,７５３－２,0749-78-2282,黒川 浩,S63/12/01,,,,長浜,5627913.pdf
理容所,ヘヤーサロン ヤマニ,529-0425,長浜市木之本町木之本,長浜市木之本町木之本１２７２,１２７２,82-4864,北川 正弘,S47/09/06,,,,長浜,5627913.pdf
理容所,ホープ理容室,526-0052,長浜市神前町,長浜市神前町１０－２１,１０－２１,62-5775,藤居 久子,S60/03/18,,,,長浜,5627913.pdf
理容所,メンズヘアーグラムス,521-0233,米原市野一色,米原市野一色４８１－１,４８１－１,55-3514,北川 泰彦,H03/09/07,,,,長浜,5627913.pdf
理容所,やまなか理容所,529-0402,長浜市木之本町杉野,長浜市木之本町杉野１１６７,１１６７,84-0325,山中 幸子,S53/08/09,,,,長浜,5627913.pdf
理容所,ユゲ理容院,529-0275,長浜市高月町重則,長浜市高月町重則４０７,４０７,85-3072,弓削 幹男,S38/04/01,,,,長浜,5627913.pdf
理容所,ゆたか理容,526-0052,長浜市神前町,長浜市神前町４－１,４－１,62-0254,居川 豊子,S34/03/31,,,,長浜,5627913.pdf
理容所,ヨコタ理容室,521-0063,米原市飯,米原市飯６０７,６０７,0749-52-2165,横田 勝,S44/07/30,,,,長浜,5627913.pdf
理容所,加代理容院,526-0043,長浜市大戌亥町,長浜市大戌亥町３１３市立長浜病院内,３１３市立長浜病院内,68-2300,藤實 加代子,H08/05/01,,,,長浜,5627913.pdf
理容所,河原林理容店,529-0721,長浜市西浅井町大浦,長浜市西浅井町大浦８２４,８２４,89-2275,河原林 たけ,S54/02/15,,,,長浜,5627913.pdf
理容所,関理髪店,526-0108,長浜市難波町,長浜市難波町１２３,１２３,0749-72-3591,関 二三夫,H09/12/16,,,,長浜,5627913.pdf
理容所,岩根理容店,529-0212,長浜市高月町井口,長浜市高月町井口１１７,１１７,85-4796,大橋 美代子,H01/03/09,,,,長浜,5627913.pdf
理容所,宮川理容院,521-0202,米原市柏原,米原市柏原２１０７,２１０７,57-0057,宮川 利郎,H05/12/22,,,,長浜,5627913.pdf
理容所,宮前理容所,529-0515,長浜市余呉町中之郷,長浜市余呉町中之郷１６６９,１６６９,86-2716,中山 貞登美,S53/11/24,,,,長浜,5627913.pdf
理容所,饗場理容,526-0244,長浜市内保町,長浜市内保町１１７６－１,１１７６－１,0749-74-0364,饗場 昭,H06/02/01,,,,長浜,5627913.pdf
理容所,湖岸理容さの,521-0064,米原市世継,米原市世継８０８－７,８０８－７,0749-52-0664,佐野 竜治,H12/03/01,,,,長浜,5627913.pdf
理容所,今川理容所,521-0012,米原市米原,米原市米原２８６－８,２８６－８,52-0416,今川 雄吉,H13/03/27,,,,長浜,5627913.pdf
理容所,三宅理容院,526-0111,長浜市川道町,長浜市川道町２５７１,２５７１,0749-72-2170,三宅 ふさえ,S47/09/09,,,,長浜,5627913.pdf
理容所,山中理美容院,521-0231,米原市村居田,米原市村居田８５１,８５１,55-0892,山中 よし子,S33/12/01,,,,長浜,5627913.pdf
理容所,山東理容院,521-0224,米原市夫馬,米原市夫馬７２９,７２９,55-1027,沢頭 政則,S47/04/08,,,,長浜,5627913.pdf
理容所,散髪屋ｇｒｏｗ,529-0425,長浜市木之本町木之本,長浜市木之本町木之本２７８－２,２７８－２,82-2296,田中 稔,H09/03/31,,,,長浜,5627913.pdf
理容所,松本理容院,529-0721,長浜市西浅井町大浦,長浜市西浅井町大浦１３６１－２,１３６１－２,89-0723,松本 了,S60/10/16,,,,長浜,5627913.pdf
理容所,松本理容院,526-0814,長浜市石田町,長浜市石田町６８２,６８２,62-6282,松本 武雄,S39/10/13,,,,長浜,5627913.pdf
理容所,上田理容館,521-0063,米原市飯,米原市飯６４８－１,６４８－１,0749-52-2102,上田 嘉壽,S39/12/10,,,,長浜,5627913.pdf
理容所,水田理容店,526-0244,長浜市内保町,長浜市内保町１３０７－１,１３０７－１,0749-74-0030,水田 徳男,S46/11/22,,,,長浜,5627913.pdf
理容所,西川理容,521-0314,米原市春照,米原市春照１８６０,１８６０,58-1289,西川 勝太郎,S53/09/30,,,,長浜,5627913.pdf
理容所,造 ｚｏ,521-0236,米原市間田,米原市間田１４５－２,１４５－２,55-4533,福永 栄造,H14/08/08,,,,長浜,5627913.pdf
理容所,大久保理容店,521-0307,米原市大久保,米原市大久保８４４,８４４,58-1147,中田 新七,S54/08/01,,,,長浜,5627913.pdf
理容所,池田理髪店,529-0721,長浜市西浅井町大浦,長浜市西浅井町大浦２１０－１,２１０－１,89-0365,池田 誠三,H05/10/26,,,,長浜,5627913.pdf
理容所,池田理容,521-0232,米原市坂口,米原市坂口１０６,１０６,55-1184,池田 鐵夫,S34/03/07,,,,長浜,5627913.pdf
理容所,中西理容店,521-0012,米原市米原,米原市米原５６７,５６７,52-2617,中西 美智子,S45/01/20,,,,長浜,5627913.pdf
理容所,中川理髪店,521-0241,米原市西山,米原市西山１９７－１,１９７－１,55-0703,中川 保,S57/11/09,,,,長浜,5627913.pdf
理容所,中川理容所,529-0144,長浜市大寺町,長浜市大寺町１０６０,１０６０,73-2646,中川 千潮,S57/12/08,,,,長浜,5627913.pdf
理容所,中嶌理容所,529-0112,長浜市宮部町,長浜市宮部町１６６７,１６６７,73-2377,中嶌 英美,S44/12/15,,,,長浜,5627913.pdf
理容所,長谷理容館,529-0426,長浜市木之本町黒田,長浜市木之本町黒田７０６,７０６,82-2745,長谷 正次,S34/07/08,,,,長浜,5627913.pdf
理容所,長浜赤十字病院内 理髪店,526-0053,長浜市宮前町,長浜市宮前町１４－７,１４－７,0749-62-2111,堀川久子,H17/11/18,,,,長浜,5627913.pdf
理容所,田中理容室,529-0512,長浜市余呉町上丹生,長浜市余呉町上丹生２８９１,２８９１,86-2666,田中 実,S36/08/04,,,,長浜,5627913.pdf
理容所,田中理容店,526-0801,長浜市千草町,長浜市千草町６３,６３,0749-63-3744,田中 正之,H18/03/16,,,,長浜,5627913.pdf
理容所,藤田理容室,529-0423,長浜市木之本町千田,長浜市木之本町千田８６５－３,８６５－３,82-4429,藤田 次男,S51/12/05,,,,長浜,5627913.pdf
理容所,柏原理髪店,526-0802,長浜市東上坂町,長浜市東上坂町８００－１,８００－１,64-1278,柏原 きよ子,S56/10/06,,,,長浜,5627913.pdf
理容所,髪きりま専科 床外 ＴＯＫＯＳＯＴＯ,526-0057,長浜市北船町,長浜市北船町８－１２,８－１２,0749-62-8649,浅野 彌壽雪,H10/10/06,,,,長浜,5627913.pdf
理容所,富田理髪店,526-0055,長浜市三和町,長浜市三和町４－１３,４－１３,62-1300,富田 文子,S13/10/18,,,,長浜,5627913.pdf
理容所,北びわこ農業協同組合浅井北理容所,526-0276,長浜市田川町,長浜市田川町２８１,２８１,0749-74-0039,北びわこ農業協同組合,S46/06/28,,,,長浜,5627913.pdf
理容所,北川理容院,529-0341,長浜市湖北町速水,長浜市湖北町速水１０４９,１０４９,78-0120,北川 薫,S41/08/24,,,,長浜,5627913.pdf
理容所,堀江理容所,521-0312,米原市上野,米原市上野１０４１,１０４１,55-0644,堀江 亮次,S37/03/08,,,,長浜,5627913.pdf
理容所,理容 イナガワ,526-0017,長浜市相撲町,長浜市相撲町２７８－３,２７８－３,62-0393,稲川 忠光,H03/04/23,,,,長浜,5627913.pdf
理容所,理容 ウメムラ,526-0817,長浜市七条町,長浜市七条町１２８１－４,１２８１－４,63-8243,梅村 賢二,S50/09/08,,,,長浜,5627913.pdf
理容所,理容 シミズ,521-0244,米原市大野木,米原市大野木１０６８－１,１０６８－１,57-0188,清水 弘道,S49/09/10,,,,長浜,5627913.pdf
理容所,理容 つぼい,521-0003,米原市入江,米原市入江１３４３,１３４３,52-5615,坪井 一子,S62/09/07,,,,長浜,5627913.pdf
理容所,理容 にしぐち,526-0031,長浜市八幡東町,長浜市八幡東町１１６－１,１１６－１,0749-63-0426,西口 滋,S47/03/13,,,,長浜,5627913.pdf
理容所,理容 ふたば,526-0032,長浜市南高田町,長浜市南高田町５－１３,５－１３,63-3494,嶌 光吉,S47/12/12,,,,長浜,5627913.pdf
理容所,理容 フルタ,526-0025,長浜市分木町,長浜市分木町６－２１,６－２１,62-8997,古田 幸子,S58/11/29,,,,長浜,5627913.pdf
理容所,理容 メルシー,526-0845,長浜市小堀町,長浜市小堀町２２１－６,２２１－６,64-0887,真杉 弘邦,S61/12/02,,,,長浜,5627913.pdf
理容所,理容 西口南店,529-0231,長浜市高月町森本,長浜市高月町森本２４４－３,２４４－３,0749-85-4435,西口 利夫,S49/03/01,,,,長浜,5627913.pdf
理容所,理容 竹中,521-0016,米原市下多良二丁目,米原市下多良二丁目１１,１１,52-4371,竹中 清三,S62/06/03,,,,長浜,5627913.pdf
理容所,理容 藤田,529-0425,長浜市木之本町木之本,長浜市木之本町木之本８９４,８９４,82-3104,藤田 俊夫,S43/02/26,,,,長浜,5627913.pdf
理容所,理容 ツジ,526-0831,長浜市宮司町,長浜市宮司町４３３,４３３,62-2580,辻 明美,S48/01/12,,,,長浜,5627913.pdf
理容所,理容 ナカジマ,529-0701,長浜市西浅井町塩津浜,長浜市西浅井町塩津浜９４９,９４９,88-0382,中嶋 守治,S38/07/04,,,,長浜,5627913.pdf
理容所,理容 よこい,529-0425,長浜市木之本町木之本,長浜市木之本町木之本１３１４－１,１３１４－１,82-2428,横井 武士,S60/08/10,,,,長浜,5627913.pdf
理容所,理容 大阪館,529-0425,長浜市木之本町木之本,長浜市木之本町木之本１１９３,１１９３,82-3271,髙橋 裕子,S60/01/26,,,,長浜,5627913.pdf
理容所,理容 不二屋,526-0056,長浜市朝日町,長浜市朝日町５－３,５－３,0749-62-2234,中村 宰典,H19/03/27,,,,長浜,5627913.pdf
理容所,理容 野口,529-0535,長浜市余呉町今市,長浜市余呉町今市２３２,２３２,86-3919,野口 紀美雄,S34/02/26,,,,長浜,5627913.pdf
理容所,理容カワズ,526-0053,長浜市宮前町,長浜市宮前町８－１７,８－１７,63-0421,河津 敏克,H12/09/27,,,,長浜,5627913.pdf
理容所,理容サミット長浜店,526-0831,長浜市宮司町,長浜市宮司町１１４２－２,１１４２－２,64-3118,渡部 藤重,H13/08/03,,,,長浜,5627913.pdf
理容所,理容ナカムラ,529-0411,長浜市木之本町古橋,長浜市木之本町古橋４２２,４２２,0749-82-6202,中村 光男,H15/09/24,,,,長浜,5627913.pdf
理容所,理容めぐみ,529-0424,長浜市木之本町廣瀬,長浜市木之本町廣瀬５－１,５－１,0749-82-4928,上田 晃一,S57/11/16,,,,長浜,5627913.pdf
理容所,理容院 畑野,529-0535,長浜市余呉町今市,長浜市余呉町今市１３２,１３２,86-3470,畑野 和夫,S49/12/01,,,,長浜,5627913.pdf
理容所,立木理容店,526-0015,長浜市神照町,長浜市神照町２－２０,２－２０,62-7161,立木 浜子,S40/12/11,,,,長浜,5627913.pdf
理容所,林 理容所,521-0004,米原市磯,米原市磯２１４７,２１４７,52-0709,林 良江,S38/09/01,,,,長浜,5627913.pdf
理容所,カット・ＺＡＣ,521-0233,米原市野一色,米原市野一色１０９２－１,１０９２－１,0749-55-0013,奥村 一将,H22/02/24,,,,長浜,5627913.pdf
